id,name,cuisine,price,rating,delivery_time,description,signature_dish,reviews,image1,image2
1,川味小厨,川菜,45,4.5,35,正宗川味，麻辣鲜香,麻婆豆腐、水煮鱼、宫保鸡丁,味道正宗，麻辣鲜香！|分量很足，性价比高|服务态度好，配送快,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
2,湘味轩,湘菜,52,4.6,40,湖南风味，香辣下饭,剁椒鱼头、口味虾、小炒肉,湘菜很正宗，辣得过瘾|菜品新鲜，味道好|价格合理，值得推荐,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
3,粤式茶餐厅,粤菜,68,4.7,45,广式茶点，精致美味,虾饺、烧卖、叉烧包,茶点很精致，味道正宗|环境不错，适合聚餐|价格稍贵但值得,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
4,东北饺子王,东北菜,38,4.4,30,东北风味，分量十足,猪肉大葱饺子、锅包肉、地三鲜,饺子皮薄馅大，很好吃|分量真的很足|性价比超高,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
5,新疆大盘鸡,新疆菜,55,4.5,50,新疆特色，大盘实惠,大盘鸡、羊肉串、手抓饭,大盘鸡分量足，味道好|羊肉串很香|配送时间稍长但值得等,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
6,重庆小面,川菜,25,4.3,25,重庆小面，麻辣过瘾,重庆小面、豌杂面、红油抄手,小面很正宗，麻辣过瘾|价格便宜，性价比高|配送快，包装好,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
7,兰州拉面,面食,22,4.2,28,兰州拉面，汤鲜味美,牛肉拉面、羊肉拉面、凉拌牛肉,拉面劲道，汤很鲜|价格实惠|配送及时,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
8,沙县小吃,快餐,20,4.0,20,沙县小吃，经济实惠,扁肉、拌面、蒸饺,价格便宜，味道不错|配送很快|适合工作餐,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
9,黄焖鸡米饭,快餐,28,4.1,30,黄焖鸡米饭，嫩滑香浓,黄焖鸡米饭、黄焖排骨,鸡肉嫩滑，米饭香|价格实惠|配送准时,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
10,麻辣香锅,川菜,58,4.6,40,麻辣香锅，食材丰富,麻辣香锅、干锅牛蛙,食材新鲜，味道好|可以自选配菜|分量足,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
11,日式拉面屋,日式,48,4.4,35,日式拉面，汤底浓郁,豚骨拉面、味增拉面、日式炸鸡,拉面汤底浓郁，很正宗|环境干净|价格适中,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
12,韩式烤肉,韩式,85,4.5,45,韩式烤肉，肉质鲜嫩,韩式烤肉、石锅拌饭、泡菜汤,肉质新鲜，烤得很好|配菜丰富|价格稍贵但值得,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
13,泰式料理,泰式,72,4.6,50,泰式料理，酸甜开胃,冬阴功汤、泰式咖喱、芒果糯米饭,泰式风味正宗|酸甜开胃|配送时间稍长,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
14,意式披萨,意式,65,4.5,40,意式披萨，芝士拉丝,玛格丽特披萨、意大利面、提拉米苏,披萨芝士拉丝，很好吃|意面正宗|价格合理,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
15,法式西餐,法式,120,4.8,60,法式西餐，精致浪漫,牛排、鹅肝、法式蜗牛,菜品精致，味道好|环境优雅|价格较高但值得,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
16,麦当劳,快餐,35,4.2,30,快餐连锁，方便快捷,巨无霸、薯条、麦乐鸡,经典快餐，味道稳定|配送快|价格适中,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
17,肯德基,快餐,38,4.3,35,炸鸡汉堡，经典美味,原味鸡、香辣鸡腿堡、蛋挞,炸鸡外酥里嫩|配送准时|性价比不错,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
18,必胜客,快餐,55,4.4,45,披萨意面，多种选择,超级至尊披萨、意式肉酱面,披萨种类多|味道不错|配送及时,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
19,星巴克,饮品,40,4.5,25,咖啡饮品，提神醒脑,拿铁、美式咖啡、星冰乐,咖啡香浓|服务好|配送快,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
20,一点点,饮品,25,4.3,20,奶茶果茶，香甜可口,珍珠奶茶、四季春茶、波霸奶茶,奶茶好喝，甜度可选|价格便宜|配送快,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
21,海底捞火锅,火锅,95,4.7,50,火锅连锁，服务贴心,毛肚、虾滑、牛肉片,服务很好，食材新鲜|配送包装好|价格稍贵,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
22,小龙坎,火锅,88,4.6,55,重庆火锅，麻辣鲜香,麻辣牛肉、鸭肠、脑花,重庆火锅很正宗|麻辣过瘾|配送时间稍长,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
23,大龙燚,火锅,92,4.7,60,四川火锅，地道正宗,嫩牛肉、黄喉、毛肚,四川火锅地道|食材新鲜|味道好,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
24,呷哺呷哺,火锅,75,4.5,45,台式火锅，清淡健康,肥牛、蔬菜拼盘、虾滑,台式火锅清淡|适合不吃辣的人|价格合理,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
25,小肥羊,火锅,85,4.6,50,内蒙古火锅，羊肉鲜嫩,羊肉片、羊蝎子、手切羊肉,羊肉很新鲜|汤底好|配送及时,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
26,老乡鸡,快餐,35,4.3,30,中式快餐，营养搭配,鸡汤、蒸蛋、小菜,营养搭配好|味道不错|价格实惠,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
27,真功夫,快餐,32,4.2,28,蒸菜快餐，健康美味,蒸蛋、蒸排骨、蒸鸡,蒸菜健康|味道清淡|配送快,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
28,永和大王,快餐,28,4.1,25,台式快餐，米饭配菜,卤肉饭、豆浆、油条,台式快餐正宗|价格便宜|配送及时,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
29,李先生,快餐,25,4.0,25,牛肉面，汤鲜肉烂,牛肉面、小菜,牛肉面汤鲜|价格实惠|配送快,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
30,和合谷,快餐,30,4.2,30,日式快餐，精致美味,日式套餐、味增汤,日式快餐精致|味道好|价格适中,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
31,西贝莜面村,西北菜,75,4.6,45,西北风味，面食丰富,莜面、羊肉串、凉皮,西北风味正宗|面食好吃|价格合理,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
32,外婆家,杭帮菜,65,4.5,40,杭帮菜，清淡精致,西湖醋鱼、东坡肉、龙井虾仁,杭帮菜清淡|味道精致|环境好,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
33,绿茶餐厅,江浙菜,58,4.4,35,江浙菜，甜咸适中,糖醋里脊、白切鸡、小笼包,江浙菜正宗|甜咸适中|价格合理,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
34,南京大牌档,江浙菜,72,4.7,50,南京风味，鸭血粉丝,鸭血粉丝汤、盐水鸭、小笼包,南京风味正宗|鸭血粉丝好吃|配送时间稍长,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
35,眉州东坡,川菜,68,4.6,45,川菜连锁，菜品丰富,东坡肉、麻婆豆腐、宫保鸡丁,川菜连锁，味道稳定|菜品丰富|价格适中,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
36,全聚德,京菜,150,4.8,60,北京烤鸭，皮脆肉嫩,北京烤鸭、鸭架汤、京酱肉丝,烤鸭皮脆肉嫩|正宗北京味|价格较高但值得,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
37,便宜坊,京菜,85,4.5,40,焖炉烤鸭，别有风味,焖炉烤鸭、炸酱面,焖炉烤鸭别有风味|价格合理|配送及时,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
38,东来顺,京菜,120,4.7,55,涮羊肉，肉质鲜嫩,涮羊肉、芝麻烧饼,涮羊肉肉质好|汤底鲜|价格稍贵,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
39,护国寺小吃,京菜,35,4.2,30,北京小吃，种类丰富,豆汁、焦圈、驴打滚,北京小吃种类多|味道正宗|价格实惠,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
40,庆丰包子铺,京菜,25,4.1,25,包子铺，馅料多样,猪肉大葱包子、三鲜包子,包子皮薄馅大|价格便宜|配送快,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
41,杨国福麻辣烫,麻辣烫,32,4.3,30,麻辣烫，自选食材,麻辣烫、自选配菜,可以自选配菜|味道好|价格实惠,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
42,张亮麻辣烫,麻辣烫,28,4.2,28,麻辣烫连锁，口味统一,麻辣烫、自选配菜,麻辣烫口味统一|价格便宜|配送快,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
43,小杨生煎,江浙菜,25,4.4,25,生煎包，皮薄馅大,生煎包、小笼包,生煎包皮薄馅大|价格实惠|配送及时,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
44,阿香米线,快餐,22,4.1,30,米线，汤鲜味美,过桥米线、酸辣米线,米线汤鲜|价格便宜|配送快,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
45,味千拉面,日式,45,4.3,35,日式拉面，汤底浓郁,味千拉面、日式炸鸡,拉面汤底浓郁|味道好|价格适中,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop
46,吉野家,日式,38,4.2,32,日式快餐，牛肉饭,牛肉饭、照烧鸡排饭,牛肉饭好吃|价格合理|配送及时,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
47,食其家,日式,35,4.1,30,日式快餐，多种套餐,牛丼饭、咖喱饭,套餐种类多|味道不错|价格实惠,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
48,丸龟制面,日式,42,4.3,35,日式面食，乌冬面,乌冬面、天妇罗,乌冬面劲道|价格适中|配送快,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop
49,萨莉亚,意式,48,4.4,38,意式快餐，经济实惠,意式肉酱面、披萨,意式快餐经济实惠|味道好|价格便宜,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1563379091339-03246963d19a?w=400&h=300&fit=crop
50,达美乐披萨,意式,62,4.5,45,披萨连锁，外送快速,经典披萨、意式香肠披萨,披萨外送快|味道好|价格合理,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=300&fit=crop
